x	y	z
9	9	-0.076458224
9	10	0.635032792
10	-10	0.818730753
10	-9	0.482025084
10	-8	-0.282294631
10	-7	-0.828772495
10	-6	-0.679725958
10	-5	0.054908162
10	-4	0.757468021
10	-3	0.825480935
10	-2	0.191872904
10	-1	-0.609768265
10	0	-0.897831775
10	1	-0.426489058
10	2	0.402987008
10	3	0.886352577
10	4	0.618708553
10	5	-0.163874239
10	6	-0.793715305
10	7	-0.745172982
10	8	-0.07630546
10	9	0.635032792
10	10	0.793473041

