name bandgap energy_pa volume_pa magmom_pa fermi hull_distance delta_e
Si,4.0,Mn,4.0, 0.0 -7.6878565075 11.32375 0.50118675 9.73604585 -0.0673550504412 -0.465114879828
Ru,4.0,Si,4.0, 0.343 -7.9523566925 13.30375 0.0 10.00029018 -0.0632668955208 -0.642580905
Re,4.0,Si,4.0, 0.0 -9.206938545 13.81125 0.0 9.65709599 -0.14802203375 -0.28596566
B,4.0,Ti,4.0, 0.0 -8.0397620075 10.605 0.0 4.45392156 -0.0165985689929 -0.830838046388
Si,4.0,Ti,4.0, 0.0 -7.35233447125 14.87625 0.0 6.57499845 -0.0857547441071 -0.769800584722
O,4.0,Li,4.0, 2.443 -4.80314529 7.4425 0.0 2.09755929 -0.0250312316667 -1.63062695929
Nd,4.0,Cu,4.0, 0.0 -4.38715198375 21.97625 0.0 3.9667587 -0.00718983125 -0.16564890375
Cr,2.0,Cl,6.0, 1.53 -4.8497501075 21.6775 0.7500003375 2.06277867 -0.493751577868 -1.3812000586
I,6.0,As,2.0, 2.24 -2.503710945 41.9875 0.0 1.43740012 -0.34031072222 -0.34031072222
Al,6.0,Th,2.0, 0.0 -5.0614987525 21.3325 0.0 7.37670443 -0.0318496883333 -0.3992956475
B,4.0,Co,4.0, 0.0 -7.2954300325 7.7175 0.0 7.56383805 -0.220976617708 -0.416386382917
B,2.0,O,4.0,Li,2.0, 7.699 -6.9889223375 6.91375 0.0 2.53232313 -0.033318832375 -2.61445119574
Ru,2.0,Br,6.0, 0.0 -3.7980266525 24.88375 0.0 2.74856003 -0.530890352531 -0.530890352531
Ni,2.0,Mg,2.0,Tb,2.0, 0.0 -4.23360681333 20.5966666667 0.0 3.99454809 -0.005253835 -0.327668621111
Te,3.0,Bi,2.0, 0.517 -3.741040718 35.624 0.0 5.58106647 None -0.266781454
Zn,12.0,Tb,1.0, 0.0 -1.68901691462 14.7915384615 0.0 3.7533946 -0.00862825480769 -0.188307939487
La,2.0,Cl,6.0, 3.998 -5.020144 26.07125 0.0 2.40528961 -1.82891705074 -2.69613653985
Tb,8.0,Al,8.0, 0.0 -4.60399200437 23.703125 0.0 4.72650408 -0.020957601875 -0.416671596042
Ni,2.0,Mg,3.0,Gd,2.0, 0.0 -3.85349110286 21.3714285714 0.0 3.93876621 -0.02432352 -0.278018432857
Bi,2.0,Se,3.0, 0.416 -4.095835832 29.528 0.0 4.53324513 None -0.423882926
Ni,4.0,Dy,4.0, 0.0 -5.5360248275 19.2075 0.0 4.04804339 -0.053288770625 -0.462085315833
Ni,6.0,N,2.0, 0.0 -6.22543438125 9.85125 0.0 5.50473699 -0.0486192448826 -0.0486192448826
Ni,9.0,Yb,3.0, 0.0 -4.85524565083 13.2533333333 0.000663966666667 3.99417269 -0.0103449525 -0.326976203333
Ge,2.0,Se,4.0, 1.688 -4.11820238167 28.4416666667 0.0 1.31641729 None -0.26566126
I,6.0,Sb,2.0, 2.129 -2.5298397175 45.085 0.0 1.8626368 -0.49982118847 -0.49982118847
Ni,4.0,Mg,2.0,La,4.0, 0.0 -4.829910376 22.038 0.0 7.05265549 -0.020037187 -0.331907612
Pb,1.0,F,4.0, 2.093 -3.928935542 11.95 0.0 0.95126976 -0.240599868252 -2.16016004301
Sb,2.0,F,6.0, 4.682 -4.5867966575 11.615 0.0 4.92129785 -1.94953024188 -2.57967209407
K,4.0,O,4.0, 2.966 -4.05036058875 17.52625 0.0 1.09323627 -0.11988648875 -1.26401585637
Ni,4.0,Si,4.0, 0.0 -5.9946239975 11.8825 0.0 8.63102609 -0.0517629216667 -0.50900271
P,4.0,Mn,4.0, 0.0 -7.80690630375 11.2725 0.0022019375 9.80077405 -0.137528015536 -0.716361131365
Y,2.0,Cl,6.0, 4.356 -5.2442407325 28.06375 0.0 -0.35155739 -1.23778531555 -2.53596987485
Al,8.0,Sm,8.0, 0.0 -4.63444162 24.716875 0.0 4.58729663 -0.01906713625 -0.4050402425
Gd,8.0,Al,8.0, 0.0 -4.6151471475 24.0025 0.0 4.72961532 -0.0228851325 -0.4152249325
Al,8.0,Dy,8.0, 0.0 -4.59012616063 23.454375 0.0 4.69095376 -0.0189061171875 -0.416637373958
Pr,1.0,Ni,5.0, 0.0 -5.692736385 13.8966666667 0.00025085 4.52717395 -0.035867874 -0.275160916667
Y,4.0,Ni,4.0, 0.0 -6.45500441125 19.72375 0.0 4.03387139 -0.09609537475 -0.44954223875
S,2.0,La,2.0, 0.0 -6.6971213075 25.2875 0.0011691 8.84710418 -0.2712339775 -2.32132524079
Pb,2.0,S,2.0,Rh,3.0, 0.0 -5.73162074429 19.56 0.0 7.0666855 -0.0763672223809 -0.493465361883
Th,3.0,N,4.0, 1.669 -9.54513493286 16.6757142857 0.0 6.80095436 -0.189016284286 -1.75788114402
Mn,1.0,Cl,2.0, 1.551 -5.29132071667 21.2433333333 1.66666476667 2.69215836 -0.573685063295 -1.31369148753
Rb,1.0,O,2.0, 0.0 -4.36020825667 17.1433333333 0.0 0.56315068 -0.0455043163889 -1.05566341405
Sn,1.0,Se,2.0, 0.434 -3.98406409 25.6533333333 0.0 4.49890446 None -0.3672342147
Te,2.0,Zr,1.0, 0.0 -5.82137891 30.5633333333 0.0 5.21681129 None -0.878524387222
Cu,1.0,Br,2.0, 0.0 -2.60436061333 23.7433333333 0.0 1.63920533 -0.220714024458 -0.51660642225
Cs,1.0,O,2.0, 0.0 -4.33154472 20.3733333333 0.0 1.24161835 -0.0876346741667 -1.06323606571
Tb,2.0,Co,4.0, 0.0 -6.43233823167 14.4933333333 0.000542866666667 5.12787525 -0.0450550128819 -0.169006236111
Pb,1.0,Mg,2.0, 0.0 -2.31269936333 25.7966666667 0.0 5.35208384 -0.00190285333333 -0.0748412866667
Na,2.0,O,1.0, 2.369 -3.72410481667 13.4033333333 0.0 1.06285384 -0.403030421944 -1.39222731063
Na,2.0,S,1.0, 2.883 -3.31172172667 21.8266666667 0.0 0.65011113 -0.3667675625 -1.19687882164
O,2.0,Pu,1.0, 0.0 -10.2966182933 12.96 1.33333353333 9.21477585 -0.240256766428 -3.26275351943
S,2.0,Pt,1.0, 0.454 -5.10221037 18.61 0.0 5.83188801 -0.157674572196 -0.543343177726
Na,1.0,N,3.0, 3.93 -6.6248126925 12.4175 0.0 1.07432327 -0.258537220064 -0.258537220064
Nb,1.0,B,2.0, 0.0 -8.51173849333 9.33333333333 0.0 8.51174595 -0.0999496035185 -0.695499213889
Cr,1.0,O,2.0,Li,1.0, 3.215 -6.8490152625 8.6125 0.74999925 3.92957821 -0.148358449375 -2.46712324215
Mg,2.0,Se,2.0, 2.724 -3.779721375 26.64 0.0 1.27111272 None -1.273189265
Mo,1.0,F,3.0, 0.0 -6.1274393225 15.3375 0.746108575 3.22728952 -0.042272425 -2.43812840157
Sc,1.0,F,3.0, 6.959 -6.8750569925 14.7975 0.0 -3.05653973 -3.18453516188 -4.32589474157
Ti,1.0,F,3.0, 0.0 -6.5609086725 13.63 0.25000505 2.25760596 -1.38327636969 -3.64808725206
S,2.0,Fe,2.0, 0.0 -6.7141447875 15.5825 0.0 5.4020786 -0.12091184875 -0.659379633295
Ga,2.0,N,2.0, 2.091 -6.1535899775 11.4425 0.0 3.70927907 -0.613318908515 -0.613318908515
Xe,1.0,F,2.0, 1.865 -1.59202217667 16.75 0.0 -2.36555536 None -0.739124622508
Co,9.0,Th,3.0, 0.0 -7.35163113417 14.2058333333 0.140143575 7.45376591 -0.000786376666671 -0.188203510417
I,2.0,Cr,1.0, 0.0 -4.46414265333 32.0266666667 1.3333382 4.76086637 -0.156583946667 -0.406078967529
Zn,2.0,Th,1.0, 0.0 -3.57133371 21.03 0.0 5.14425313 -0.0194796438095 -0.273819413333
Au,2.0,Sn,2.0, 0.0 -3.7896416875 22.3375 0.0 7.31797744 -0.10160073925 -0.230342479549
Fe,1.0,O,2.0,Li,1.0, 1.536 -6.1678925325 8.7325 1.249999275 3.5075165 -0.0913208052083 -1.94549231434
B,2.0,V,2.0, 0.0 -8.64391473 9.03 0.0 7.85802697 -0.0657771829167 -0.835435307917
U,1.0,Al,3.0, 0.0 -5.7533408275 19.3475 0.60690075 8.48233349 -0.000292809374999 -0.12118849875
Co,1.0,Cl,2.0, 0.0 -4.08780527 18.48 1.00011213333 3.40695193 -0.595378892778 -0.756901409315
Fe,1.0,Cl,2.0, 0.0 -4.67478953667 19.1233333333 1.3333347 3.97217134 -0.16055684 -0.942187270981
Ni,9.0,Ca,1.0,Mg,2.0, 0.0 -4.76519064917 12.8166666667 0.0167909916667 4.85192314 -0.00591932812501 -0.186041039583
Zr,1.0,Cl,2.0, 0.974 -5.71059332333 21.4433333333 0.0 5.07502729 -0.0696492408333 -1.89116632598
Ni,10.0,Sb,4.0, 0.0 -5.33359086214 13.2642857143 0.0 8.40377157 -0.00249998964286 -0.195541215
I,2.0,Mn,1.0, 1.091 -4.46043355 32.6633333333 1.6666617 3.74426433 -0.346731655517 -0.564086960748
I,2.0,V,1.0, 0.929 -4.44611743333 32.09 1.0017151 4.72117846 -0.174217496667 -0.576872364196
K,1.0,O,2.0, 0.0 -4.46903868 16.1533333333 0.0 0.29794643 -0.125805232917 -1.11975894127
Na,2.0,In,2.0, 0.0 -2.136568115 22.7975 0.0 5.85338133 -0.05163338375 -0.173046443333
Si,2.0,Th,1.0, 0.0 -6.70890142667 20.4766666667 0.0 8.76919659 -0.126146292917 -0.621441736667
B,2.0,Ta,1.0, 0.0 -9.05189889 9.21 0.0 9.30608723 -0.049467617963 -0.649633607222
I,2.0,Li,2.0, 4.616 -2.93987092 31.1675 0.0 0.42047977 -0.80524933375 -1.33780883565
Co,2.0,O,2.0, 0.894 -6.0305220825 11.71 1.500022675 3.22411464 -0.102342784115 -1.32053647074
Cr,1.0,O,2.0,Na,1.0, 2.784 -6.5597618925 10.0725 0.7500704 3.84808986 -0.221544050447 -2.33028125381
O,2.0,Cu,2.0, 0.0 -4.170898865 9.605 0.0 3.55683118 -0.140547215446 -0.782958509139
Te,1.0,La,1.0, 0.0 -5.63101656 34.36 0.0 8.07101214 None -1.59659221417
Te,2.0,Cu,2.0, 0.0 -3.4708291275 21.2275 0.0 6.12026689 None -0.0598504641667
Tl,2.0,F,2.0, 2.433 -3.76096759 18.105 0.0 3.84199189 -0.531005368125 -1.97277283938
Ge,3.0,U,1.0, 0.0 -6.6118096725 18.26 0.0 7.72052876 -0.13800524375 -0.326695025
N,2.0,La,2.0, 1.292 -7.9508241475 21.3925 0.0 6.69530687 -1.45290763727 -1.45290763727
N,1.0,Li,3.0, 1.422 -3.87529119 10.7425 0.0 0.42347227 -0.360354335 -0.455804298633
Mg,2.0,Te,2.0, 2.489 -3.22278288 34.42 0.0 2.21160849 None -0.880995471667
Sb,2.0,Mn,2.0, 0.0 -6.5890963075 19.035 1.460760625 8.20618075 -0.0201325123276 -0.0201325123276
Pd,2.0,O,2.0, 0.0 -5.4918361475 12.4925 0.0 4.1557211 -0.436235129643 -0.685373986786
Sn,2.0,O,2.0, 0.0 -5.729201685 16.3825 0.0 7.98090998 -0.0535150847746 -1.53717390633
Zn,2.0,O,2.0, 1.052 -4.534682045 11.79 0.0 1.36966139 -0.903459919375 -1.67710721179
Re,1.0,O,3.0, 0.0 -8.3915061125 13.18 0.0 2.42590154 -0.631747397768 -1.93088685768
Na,1.0,Fe,1.0,O,2.0, 1.674 -5.8745425875 10.2225 1.25000095 3.50971272 -0.159678168 -1.80455375101
Te,2.0,Pd,2.0, 0.0 -4.51722268 21.39 0.0 7.45578187 None -0.377684141667
S,2.0,Pt,2.0, 0.424 -5.5047807225 19.0225 0.0 5.18096817 -0.170995525 -0.578502908295
Zr,2.0,Pt,2.0, 0.0 -8.3744737875 18.7675 0.0 6.2181806 -0.19964586875 -1.08723967
Co,1.0,Br,2.0, 0.0 -3.70372337 22.3533333333 1.00008886667 2.61512328 -0.277179912778 -0.482724403916
Si,2.0,Zr,2.0, 0.0 -7.92084687 17.7125 0.0 7.05090963 -0.0932109185417 -0.93540859
Al,2.0,Ti,2.0, 0.0 -6.1582826475 16.1425 0.0 5.51633388 -0.035313462 -0.415496203472
U,1.0,O,3.0, 2.391 -8.6676604575 17.7175 0.0 1.8177446 -0.0380668082142 -3.19071165278
Sb,2.0,Mg,3.0, 0.186 -2.944710322 26.652 0.0 5.08392359 -0.188641377 -0.372402
Ni,3.0,S,2.0, 0.0 -5.363217226 13.106 0.0 6.31649626 -0.0965521733333 -0.505804104636
V,1.0,Cl,2.0, 1.197 -5.31759813667 21.31 0.9999992 4.18765566 -0.0444538322222 -1.36707042765
Sb,2.0,Te,3.0, 0.205 -3.661134908 33.372 0.0 6.16343506 None -0.129408468
Cr,1.0,B,4.0, 0.0 -7.545168986 7.388 0.0 7.75703792 -0.0871302614167 -0.301867154667
K,1.0,O,3.0,Br,1.0, 3.151 -4.081610944 14.664 0.0 1.26968247 -0.11877330975 -0.918752375151
I,1.0,K,1.0,O,3.0, 1.915 -4.400188808 15.84 0.0 3.29829516 -0.21903861675 -1.22874356273
O,2.0,Ag,4.0, 0.0 -3.61870177 18.05 0.0 1.23677544 -0.0342783 -0.283389479524
Al,4.0,Ce,2.0, 0.0 -4.56305499167 22.45 0.0 5.78202973 -0.05446371875 -0.473916361667
Ca,2.0,Al,4.0, 0.0 -3.49188195 21.4466666667 0.0 5.44852313 -0.106844836491 -0.345490015
Al,4.0,La,2.0, 0.0 -4.63916981333 22.5383333333 0.0 8.09639589 -0.0609639375 -0.499705671667
Pr,2.0,Al,4.0, 0.0 -4.578791875 22.0533333333 0.0 5.79091232 -0.0630456883333 -0.490566475
Ca,2.0,Br,4.0, 4.571 -3.80096008333 33.2016666667 0.0 -0.22360593 -0.896444695 -2.29064764392
Ni,5.0,Th,1.0, 0.0 -6.273335975 13.475 0.144723983333 6.32595325 -0.0809165927083 -0.41597499
Na,1.0,O,2.0,N,1.0, 2.355 -5.7046487475 11.2675 0.0 0.9522172 -0.010941849453 -1.13494181708
Ni,2.0,Sb,2.0, 0.0 -5.1222371725 17.19 0.0 8.55161286 -0.086175975625 -0.2903937175
Au,2.0,Se,2.0, 0.0 -3.40821631 21.34 0.0 4.24365829 None -0.06797405
I,2.0,In,2.0, 1.284 -2.5762302725 34.6525 0.0 4.70613123 -0.105192400313 -0.575710663147
H,2.0,Mg,1.0,O,2.0, 5.191 -5.353397912 7.152 0.0 2.11017015 -0.006184792 -1.90953388376
N,2.0,In,2.0, 0.279 -5.4374347375 15.7125 0.0 6.37501397 -0.0698903397652 -0.0698903397652
B,2.0,Fe,2.0, 0.0 -7.869101825 7.9625 0.654350475 8.10897887 -0.142070726458 -0.387510567917
S,1.0,O,2.0,Ce,2.0, 3.162 -7.719895154 19.308 0.0 2.92898924 -0.1486554145 -3.25439820375
Hg,2.0,Cl,2.0, 2.446 -1.602569315 27.915 0.0 0.0403354 -0.110994817831 -0.711515535148
Ni,2.0,Al,3.0, 0.0 -5.091138516 13.622 0.0 7.02482931 -0.053008387 -0.625354816
Be,1.0,S,1.0,O,4.0, 7.529 -6.38836389833 9.915 0.0 1.45386232 None -2.14174995681
Ca,2.0,Cl,4.0, 5.484 -4.29266209 28.065 0.0 -0.26099845 -1.02203037667 -2.67244475598
Gd,2.0,O,2.0,Cl,2.0, 4.957 -6.89190893667 16.9716666667 0.0 2.65917422 -0.116213877361 -3.36333151001
La,2.0,O,2.0,Cl,2.0, 4.152 -7.07598626667 19.1783333333 0.0 4.903013 -0.182831438056 -3.45636721501
Sm,2.0,O,2.0,Cl,2.0, 5.019 -6.88813342333 17.61 0.0 2.50280365 -0.257810328333 -3.33990322168
Co,2.0,F,4.0, 0.0 -5.23254175 10.4033333333 1.00001238333 3.22679252 -0.193990663889 -2.00327072084
Co,3.0,Sn,3.0, 0.0 -5.65942195333 16.705 0.0 8.57175702 -0.0661804995833 -0.164774477883
Cr,2.0,O,4.0, 0.0 -7.35252427667 9.47166666667 0.666669433333 3.97165783 -0.0453822105952 -2.13329721953
Cr,4.0,Ta,2.0, 0.0 -10.4138573933 13.615 0.0 6.91309715 -0.107925246667 -0.12624652
Cu,2.0,F,4.0, 0.0 -3.867431405 10.155 0.0 1.63935282 -0.628364361667 -1.77140515084
O,2.0,Cu,4.0, 0.87 -3.69269162167 12.5883333333 0.0 2.09403835 -0.0961221366015 -0.667154397661
Sr,1.0,Cu,5.0, 0.0 -3.41723643 14.98 0.0 3.80873596 -0.0332188641667 -0.0695551466667
Sm,2.0,O,2.0,F,2.0, 5.021 -7.64056661833 13.4866666667 0.0 1.99844193 -0.0926645025 -4.14315283244
Mg,2.0,F,4.0, 8.126 -5.23880275333 9.62833333333 0.0 0.77487729 -1.54039193167 -3.85557066917
Ni,2.0,F,4.0, 0.594 -4.68800077167 10.0866666667 0.666665716667 2.53126182 -0.328646801667 -1.97008460084
Pd,2.0,F,4.0, 0.0 -3.98362343833 12.505 0.0 2.41609948 -0.041310655 -1.40189060084
Ca,1.0,O,2.0, 3.068 -5.84559269333 11.6633333333 0.0 3.78428576 -0.0569214161904 -2.21271633738
P,4.0,Fe,2.0, 0.401 -6.91075744333 12.5266666667 0.0 8.63669092 -0.0623588833333 -0.708579260384
Cr,4.0,Nb,2.0, 0.0 -9.74247220833 13.7083333333 0.0 6.55419324 -0.0408873383333 -0.0408873383333
S,4.0,Fe,2.0, 0.88 -6.02914913167 13.38 0.0 7.92685806 -0.278370623863 -0.717957046059
Te,4.0,Fe,2.0, 0.0 -5.04269028667 21.0783333333 0.0 8.7059226 None -0.186660495556
Ge,2.0,O,4.0, 2.043 -6.43323386167 9.22 0.0 4.37640408 -0.780440878095 -1.91112084571
Pr,1.0,Mg,1.0, 0.0 -3.278038465 29.97 0.0 3.5107672 -0.0332391016667 -0.11998733
H,4.0,Mg,2.0, 3.8 -2.95208968667 9.70166666667 0.0 0.75177324 -0.19574947389 -0.19574947389
Si,2.0,Hf,4.0, 0.0 -9.18779157667 18.68 0.0 6.03808451 -0.0751049908333 -0.743286018333
Gd,2.0,Co,4.0, 0.0 -6.41729160833 14.615 0.0002578 5.16503081 -0.0334192330782 -0.145558408333
Pr,1.0,Ni,4.0,Mg,1.0, 0.0 -5.065850225 14.3616666667 0.0 4.9850753 -0.0421827843852 -0.3156168
Ni,4.0,Er,2.0, 0.0 -5.703797785 14.4866666667 0.0 4.87121618 -0.0251934652778 -0.485036823333
Zn,1.0,Ce,1.0, 0.0 -3.31606398 25.355 0.0 3.48617568 -0.05763182875 -0.3077791975
O,2.0,Fe,1.0,Cu,1.0, 1.008 -5.675529345 11.0575 1.2500008 3.28362196 -0.062692149375 -1.34541811427
Rb,2.0,O,2.0, 2.128 -3.915585045 20.3575 0.0 1.76873644 -0.0917750125 -1.19634265679
Ca,1.0,Zn,5.0, 0.0 -1.60149823167 16.625 0.0 3.34625762 -0.0194221447222 -0.243443375
Co,5.0,Th,1.0, 0.0 -7.26416905833 13.2166666667 0.972014333333 6.90520405 -0.00295192055555 -0.1284209275
Co,17.0,Sm,2.0, 0.0 -6.90208986579 12.1457894737 1.29730067895 5.43874059 -0.0270691776316 -0.0708596165789
Nd,1.0,Cu,5.0, 0.0 -4.021759455 14.5233333333 0.0 4.30733487 -0.0153393546875 -0.160821881667
Mg,1.0,Ho,1.0, 0.0 -3.13293254 26.84 0.0 3.32756183 -0.0226641039583 -0.0730879466667
Cu,1.0,Er,1.0, 0.0 -4.41023235 19.51 0.0 3.7694832 -0.168523686667 -0.2880880675
Mg,1.0,Tm,1.0, 0.0 -3.06557199 26.48 0.0 3.2523422 -0.01565860125 -0.05749659
Sc,2.0,Al,4.0, 0.0 -5.09258656667 18.095 0.0 6.44786329 -0.0330266483333 -0.50046679
Nd,2.0,Al,4.0, 0.0 -4.58594924333 21.705 0.0 5.74135345 -0.0710761789583 -0.50155005
I,2.0,Fe,1.0, 0.553 -3.70707284333 27.1333333333 3.33333333333e-08 5.87019475 -0.0557532175293 -0.0557532175293
Nd,2.0,O,2.0,Cl,2.0, 4.802 -6.88667111333 18.3016666667 0.0 2.42976588 -0.154237079861 -3.32211701001
H,2.0,O,2.0,Na,2.0, 3.577 -4.50903844167 9.38 0.0 0.46834873 -0.183526191667 -1.47611667536
Si,4.0,Hf,2.0, 0.0 -7.50225436667 16.315 0.0 8.43960626 -0.0203969675 -0.567542585
Mg,2.0,Cu,4.0, 0.0 -3.12000334333 13.6433333333 0.0 4.75738987 -0.0566957558333 -0.152142693333
Al,4.0,Sm,2.0, 0.0 -4.5827061 21.1466666667 0.0 5.69106988 -0.0806518116667 -0.514630808333
Eu,2.0,Al,4.0, 0.0 -3.52291696833 22.1566666667 0.0 4.91281 -0.097422439 -0.416105941667
Br,6.0,Pu,2.0, 0.0 -6.336251935 30.81625 1.252673475 3.48595684 -1.28801917669 -1.78611545128
Gd,2.0,Al,4.0, 0.0 -4.57154225 20.64 0.0 5.81629272 -0.0884130408333 -0.523119733333
I,2.0,Zn,1.0, 1.861 -1.91519143333 34.3666666667 0.0 2.09548969 -0.422756051667 -0.612366622529
C,4.0,Th,2.0, 0.0 -8.87116833 15.4683333333 0.0 7.27816921 None -0.26051154
Si,4.0,Ce,2.0, 0.0 -5.80408156 21.51 0.0 6.67271883 -0.1160791475 -0.595279673333
Sc,2.0,Ni,4.0, 0.0 -6.33343154833 13.21 0.0 5.43045518 -0.0820614 -0.540710805
Se,4.0,Cu,2.0, 0.0 -3.650411725 19.405 0.0 4.29320625 None -0.109665511667
Eu,4.0,P,4.0,Se,12.0, 2.173 -4.556719862 26.1295 0.0 2.48851954 None -1.07622232912
Ni,2.0,Te,2.0,O,12.0,Sr,4.0, 2.605 -5.8352686645 12.0495 0.19998579 4.09579902 None -2.20078013735
Ru,4.0,O,12.0,La,4.0, 0.0 -7.9270974575 12.325 0.19769561 8.44562918 None -2.41757165564
Cr,4.0,Sb,12.0,La,4.0, 0.0 -5.868646712 25.7085 0.490471785 8.08867786 None -0.511576763
Sc,4.0,B,4.0,Fe,2.0,Ir,10.0, 0.0 -8.5719730855 13.491 0.42995426 8.11072607 None -0.726526675667
Na,2.0,Mg,2.0,Te,2.0,O,12.0,La,2.0, 3.0 -6.246985179 11.705 0.0 5.48563649 None -2.47475908964
Pb,4.0,Te,4.0,O,12.0, 2.563 -5.421926608 15.5515 0.0 5.68943576 None -1.38277033381
Y,4.0,Co,4.0,O,12.0, 0.0 -7.468166308 10.0955 0.400014085 4.9883392 None -2.50119220773
S,10.0,Bi,10.0, 0.0 -4.254114584 28.5665 0.0 5.69415711 None -0.355244409795
S,8.0,Au,4.0,Rb,4.0,Cd,4.0, 2.198 -3.3686039425 26.341 0.0 1.84525881 None -0.841945191136
Ca,4.0,K,4.0,F,12.0, 7.883 -5.1231623955 14.378 0.0 -1.7938281 None -3.73176135709
Nb,6.0,Mn,2.0,S,12.0, 0.0 -7.4769844305 17.926 0.41267309 5.60313871 None -1.25250387742
Mn,6.0,Ba,2.0,O,12.0, 0.0 -7.1327435905 11.483 1.099773325 3.78473899 None -2.1375017031
Te,2.0,Ba,4.0,O,12.0,Cu,2.0, 0.0 -5.6306338955 13.6565 0.0 4.12400723 None -2.01663624595
H,12.0,Al,2.0,Na,6.0, 3.533 -2.9556162325 10.059 0.0 0.79740601 None -0.184977007001
Ni,4.0,O,12.0,Dy,4.0, 0.0 -6.6299650785 10.286 0.20009473 3.65804329 None -2.42715292572
Mn,4.0,Nd,4.0,O,12.0, 0.0 -7.944641369 12.1625 0.800000615 4.38321738 None -2.89521470978
Yb,4.0,O,12.0,La,4.0, 0.0 -7.1001394135 14.354 0.19997438 3.46753105 None -3.13471950964
Ni,8.0,Te,4.0,Se,4.0,Ta,4.0, 0.0 -6.386583694 18.172 0.0 6.07581432 None -0.475355074667
Ni,10.0,Ge,4.0,Ga,6.0, 0.0 -4.9848751255 12.9635 0.0 5.29428512 None -0.38482834075
Ca,1.0,Mn,4.0,O,12.0,Cu,3.0, 0.0 -6.19125383 9.2595 0.45004217 4.09942062 None -1.65177131648
Na,2.0,C,4.0,O,12.0,La,2.0, 4.569 -7.529769385 10.779 0.0 3.58619734 None -2.38395804631
Cs,2.0,B,4.0,O,12.0,Ta,2.0, 3.735 -8.1363617935 13.4155 0.0 0.86270046 None -2.84512971181
Na,6.0,Gd,2.0,Br,12.0, 4.433 -3.5272296485 28.5345 0.0 -0.12233996 None -1.90893277652
